"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Propiedad hipotecada",50000,0,"Extranjero",4000,82,6700,58,37,"Casado","SI"
"Propiedad libre",120000,0,"Español",1221,102,28000,482,57,"Casado","SI"
"Propiedad hipotecada",300000,0,"Español",1316,37,40964,510,44,"Casado","SI"
"Propiedad libre",300000,0,"Español",26000,617,6919,5853,50,"Casado","SI"
"Propiedad libre",150000,0,"Español",945,79,25340,2476,49,"Casado","SI"
"Propiedad libre",900000,0,"Español",30000,701,1035,2392,50,"Casado","SI"
"Alquiler",0,0,"Extranjero",4000,100,16038,-257,30,"Soltero","NO"
"Propiedad hipotecada",105000,0,"Español",9000,250,30000,2459,53,"Casado","SI"
"Propiedad hipotecada",490000,0,"Español",18000,352,18963,6228,40,"Casado","SI"
"Vive con la familia",0,0,"Español",1244,104,12000,10705,27,"Soltero","SI"
"Propiedad libre",240000,0,"Español",9000,250,31598,2706,57,"Soltero","SI"
"Propiedad hipotecada",72000,0,"Español",3000,83,25000,385,57,"Casado","SI"
"Alquiler",0,0,"Extranjero",3000,136,15640,276,49,"Soltero","NO"
"Otros",0,0,"Español",1037,29,11036,1927,41,"Casado","SI"
"Otros",0,0,"Español",2500,80,14531,2398,40,"Casado","SI"
"Vive con la familia",0,240000,"Español",9000,250,36611,5471,51,"Separado","SI"
"Propiedad hipotecada",70000,0,"Extranjero",8500,174,NA,315,31,"Soltero","NO"
"Vive con la familia",0,0,"Español",1147,32,26570,2666,26,"Soltero","SI"
"Alquiler",0,0,"Español",1195,100,5621,317,30,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,189,25200,0,31,"Soltero","NO"
"Propiedad hipotecada",63500,0,"Español",1544,43,NA,3005,32,"Casado","SI"
"Propiedad libre",120000,0,"Español",1195,33,13509,1411,47,"Casado","SI"
"Vive con la familia",0,0,"Español",19500,340,18900,984,27,"Soltero","SI"
"Propiedad libre",36000,0,"Español",6000,148,4579,117,72,"Casado","SI"
"Propiedad hipotecada",248169,0,"Español",3000,94,4800,489,45,"Casado","SI"
"Propiedad hipotecada",206000,0,"Extranjero",4000,183,15378,133,33,"Casado","NO"
"Vive con la familia",180000,0,"Español",9000,250,14960,1518,33,"Casado","SI"
"Propiedad hipotecada",210000,0,"Español",1239,103,18000,0,52,"Casado","SI"
"Propiedad hipotecada",230000,0,"Español",9000,250,22607,11508,30,"Soltero","SI"
"Propiedad hipotecada",99815,0,"Español",950,26,21000,25443,36,"Soltero","SI"
"Propiedad hipotecada",250000,0,"Español",9000,250,34774,4614,58,"Casado","SI"
"Vive con la familia",0,0,"Español",2500,218,NA,39,42,"Soltero","NO"
"Propiedad libre",100000,0,"Español",1060,29,22006,35537,59,"Casado","SI"
"Vive con la familia",30000,0,"Español",1206,101,25200,1413,30,"Soltero","NO"
"Propiedad hipotecada",57000,0,"Español",1044,87,19092,0,36,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,121,10800,1405,21,"Soltero","SI"
"Propiedad libre",150000,0,"Español",1086,30,40000,5781,47,"Casado","SI"
"Propiedad hipotecada",150000,0,"Extranjero",9000,145,13155,-125,39,"Soltero","NO"
"Propiedad libre",125000,0,"Español",905,25,34388,27411,51,"Casado","SI"
"Propiedad hipotecada",90000,0,"Extranjero",3000,95,12323,878,45,"Casado","SI"
"Propiedad libre",120000,0,"Español",9000,250,18158,8831,61,"Casado","SI"
"Propiedad libre",60100,0,"Español",9000,250,16168,1444,51,"Casado","SI"
"Propiedad libre",60100,0,"Español",6000,102,16168,1444,51,"Casado","SI"
"Vive con la familia",0,0,"Español",9000,250,19991,0,29,"Soltero","SI"
"Vive con la familia",0,0,"Español",10000,196,22927,20807,35,"Soltero","SI"
"Propiedad libre",250000,0,"Español",5000,139,14672,14377,59,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",9000,250,24941,50,46,"Soltero","SI"
"Propiedad libre",360000,30000,"Español",9000,250,NA,73865,61,"Soltero","SI"
"Propiedad libre",150000,0,"Español",3000,63,18400,6413,62,"Soltero","SI"
"Propiedad hipotecada",240000,0,"Español",5500,115,4417,4422,51,"Casado","SI"
"Vive con la familia",0,0,"Español",510,43,15913,31606,NA,"Soltero","SI"
"Propiedad libre",250000,0,"Español",974,81,20567,3712,57,"Separado","SI"
"Propiedad libre",50000,0,"Español",938,78,27046,1481,55,"Casado","SI"
"Propiedad hipotecada",150250,0,"Español",3000,63,28550,42,54,"Casado","SI"
"Vive con la familia",0,0,"Español",1169,32,NA,27696,35,"Soltero","SI"
"Vive con la familia",0,0,"Español",6000,188,14163,2925,24,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Español",16000,277,26987,712,45,"Soltero","SI"
"Propiedad hipotecada",450000,120000,"Español",9000,250,26000,9593,42,"Casado","SI"
"Otros",0,0,"Español",9000,250,28000,0,39,"Casado","SI"
"Propiedad hipotecada",107000,0,"Extranjero",17000,302,7451,35,33,"Casado","SI"
"Propiedad libre",75000,2000,"Español",9000,250,12432,2331,52,"Casado","SI"
"Propiedad hipotecada",240000,0,"Español",12000,250,17000,22276,52,"Casado","SI"
"Propiedad libre",300000,0,"Español",9000,250,32580,26234,57,"Casado","SI"
"Propiedad libre",150000,0,"Español",9000,250,NA,665,51,"Casado","SI"
"Vive con la familia",0,0,"Español",25000,488,23703,2497,34,"Casado","SI"
"Alquiler",0,0,"Español",7000,194,33959,481,49,"Casado","SI"
"Propiedad hipotecada",125000,0,"Español",9000,250,21781,4701,NA,"Casado","SI"
"Propiedad libre",300000,0,"Español",9000,250,24332,-21,57,"Casado","SI"
"Propiedad hipotecada",218009,0,"Español",18000,276,70000,218,31,"Soltero","SI"
"Propiedad hipotecada",5000,50000,"Español",9000,250,25018,0,44,"Casado","SI"
"Propiedad hipotecada",62000,0,"Español",1295,36,5600,1211,NA,"Casado","SI"
"Propiedad libre",72000,30000,"Español",12000,209,39376,804,48,"Casado","SI"
"Propiedad libre",150000,0,"Español",1000,83,21000,5852,38,"Soltero","SI"
"Propiedad libre",360000,0,"Español",799,22,40500,1976,51,"Casado","SI"
"Propiedad hipotecada",72082,0,"Español",649,59,14102,18171,43,"Casado","SI"
"Propiedad hipotecada",220000,0,"Español",9000,250,26000,1040,45,"Soltero","SI"
"Propiedad hipotecada",158000,0,"Español",25000,377,22860,2381,46,"Separado","SI"
"Propiedad libre",45000,0,"Español",4000,83,NA,1081,57,"Casado","SI"
"Alquiler",0,0,"Extranjero",4000,100,8000,0,41,"Casado","SI"
"Propiedad hipotecada",230000,0,"Español",6000,95,22073,282,53,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",2094,175,15367,759,29,"Soltero","SI"
"Vive con la familia",0,0,"Español",3100,97,14042,963,34,"Soltero","SI"
"Propiedad hipotecada",33500,0,"Español",17000,408,16509,1331,34,"Soltero","SI"
"Vive con la familia",0,0,"Español",3600,61,9298,118,29,"Soltero","SI"
"Propiedad libre",180000,0,"Español",1090,30,NA,5974,47,"Casado","SI"
"Propiedad libre",115500,0,"Español",9000,250,24604,8405,53,"Casado","SI"
"Vive con la familia",0,0,"Español",1359,113,NA,4419,27,"Soltero","SI"
"Propiedad hipotecada",122000,0,"Español",819,23,31200,4141,54,"Casado","SI"
"Propiedad libre",240000,0,"Español",9000,250,17160,10,51,"Casado","SI"
"Propiedad hipotecada",7796,0,"Español",10000,192,20601,1087,35,"Casado","SI"
"Propiedad libre",200000,0,"Español",1302,36,11000,8794,35,"Casado","SI"
"Propiedad hipotecada",35741,12000,"Español",6000,187,21131,1421,NA,"Casado","SI"
"Propiedad libre",150000,80000,"Español",1015,85,24974,10658,52,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",2000,91,25000,952,25,"Soltero","NO"
"Vive con la familia",0,0,"Español",9000,250,23900,6371,27,"Soltero","SI"
"Vive con la familia",122041,0,"Español",12700,247,18005,1341,29,"Soltero","SI"
"Propiedad libre",75000,0,"Español",31650,532,17909,255,44,"Casado","SI"
"Propiedad libre",360000,0,"Español",9000,250,24087,7103,62,"Casado","SI"
"Propiedad libre",76000,0,"Español",1399,117,17000,127,46,"Casado","SI"
"Propiedad hipotecada",15000,0,"Español",12000,250,16858,4410,32,"Casado","SI"
"Vive con la familia",0,0,"Español",12000,250,12468,2579,26,"Soltero","SI"
"Propiedad libre",120000,0,"Español",285,26,16425,3882,43,"Casado","SI"
"Propiedad libre",150000,0,"Español",9000,250,25200,52951,64,"Casado","SI"
"Propiedad hipotecada",157000,0,"Español",12000,250,32800,23940,48,"Casado","SI"
"Propiedad libre",200000,0,"Español",9000,250,19984,1501,37,"Soltero","SI"
"Propiedad libre",300000,0,"Español",9000,250,32296,42045,51,"Casado","SI"
"Vive con la familia",45700,0,"Español",9000,250,13650,693,35,"Soltero","SI"
"Propiedad libre",180000,0,"Español",9000,250,15000,1413,49,"Casado","SI"
"Propiedad libre",240000,10000,"Español",15000,250,10471,748,66,"Casado","SI"
"Propiedad libre",150000,0,"Español",9000,250,19631,1106,52,"Casado","SI"
"Vive con la familia",0,0,"Español",5000,102,10800,822,31,"Soltero","SI"
"Propiedad hipotecada",16700,6000,"Extranjero",9000,175,21969,553,41,"Soltero","SI"
"Vive con la familia",0,0,"Español",10000,205,14124,1,23,"Soltero","NO"
"Vive con la familia",0,0,"Español",9000,188,20000,0,57,"Casado","SI"
"Propiedad libre",129217,0,"Español",1025,85,13343,172,61,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",1100,92,26000,4979,NA,"Casado","SI"
"Propiedad libre",125000,0,"Español",9000,250,30791,2861,57,"Casado","SI"
"Alquiler",0,0,"Español",5000,158,8500,101,29,"Soltero","NO"
"Otros",0,0,"Extranjero",5000,227,2029,0,29,"Soltero","NO"
"Otros",0,6000,"Español",24000,492,3000,15560,66,"Casado","SI"
"Propiedad hipotecada",230000,200000,"Español",9000,250,11938,8495,40,"Casado","SI"
"Propiedad libre",90000,0,"Español",6000,120,12261,568,NA,"Soltero","SI"
"Propiedad hipotecada",240000,0,"Español",609,17,11377,15387,40,"Casado","SI"
"Vive con la familia",0,0,"Español",17000,349,20854,1322,30,"Soltero","SI"
"Propiedad hipotecada",21300,60000,"Español",1075,30,NA,5799,43,"Casado","SI"
"Vive con la familia",0,0,"Español",2000,63,13127,2294,34,"Soltero","SI"
"Propiedad hipotecada",120000,0,"Español",9000,250,19145,2319,60,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",8000,189,12600,3166,30,"Casado","SI"
"Propiedad libre",250000,0,"Español",9000,250,30000,145937,55,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",7000,213,19090,2071,32,"Soltero","SI"
"Propiedad libre",180000,0,"Español",2000,119,18000,0,55,"Casado","NO"
"Alquiler",0,0,"Español",2000,63,14730,196,38,"Soltero","SI"
"Propiedad hipotecada",11015,0,"Español",12500,189,4589,1381,46,"Casado","SI"
"Propiedad hipotecada",120000,0,"Español",9000,250,15919,2152,45,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",600,19,16520,375,33,"Soltero","SI"
"Propiedad libre",380000,0,"Español",9000,250,11998,799,54,"Casado","SI"
"Propiedad libre",380000,0,"Español",18000,358,11998,799,54,"Casado","SI"
"Propiedad libre",110000,0,"Español",9000,250,17532,5218,39,"Casado","SI"
"Propiedad hipotecada",90000,90000,"Español",825,69,18000,-34,40,"Casado","NO"
"Vive con la familia",0,10820,"Español",1142,95,19621,5590,34,"Soltero","SI"
"Alquiler",0,0,"Extranjero",12000,246,20000,51,35,"Soltero","NO"
"Vive con la familia",125000,0,"Español",9000,250,3360,0,31,"Casado","SI"
"Propiedad libre",75000,0,"Español",11500,240,41304,5555,56,"Casado","SI"
"Propiedad libre",180000,0,"Español",4000,99,34631,2860,58,"Separado","NO"
"Propiedad hipotecada",37229,0,"Español",15000,293,25787,585,32,"Soltero","SI"
"Propiedad hipotecada",200000,0,"Español",9000,250,25970,0,52,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",18000,369,22526,4752,40,"Casado","SI"
"Otros",0,0,"Extranjero",8000,162,11344,404,52,"Casado","SI"
"Vive con la familia",0,0,"Español",7000,141,14000,4653,32,"Soltero","SI"
"Propiedad hipotecada",90000,0,"Español",4500,142,18451,0,45,"Separado","SI"
"Propiedad hipotecada",83000,0,"Español",848,24,22000,598,36,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",12000,203,14158,12126,46,"Soltero","SI"
"Vive con la familia",88550,0,"Español",6000,125,15144,5449,32,"Soltero","SI"
"Vive con la familia",0,0,"Español",25000,438,17489,3789,49,"Soltero","SI"
"Propiedad hipotecada",175000,0,"Español",9000,250,21701,0,36,"Separado","SI"
"Propiedad hipotecada",100000,0,"Español",9000,250,15287,1649,47,"Soltero","SI"
"Propiedad libre",240000,0,"Español",874,73,45000,9264,64,"Casado","SI"
"Propiedad hipotecada",120000,0,"Español",999,83,14073,313,42,"Casado","SI"
"Propiedad hipotecada",200000,53000,"Español",18000,300,31887,2241,46,"Separado","SI"
"Propiedad hipotecada",240000,0,"Español",9000,250,18843,1301,46,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,187,14596,537,27,"Soltero","SI"
"Vive con la familia",0,0,"Español",1700,27,13512,18,35,"Casado","SI"
"Otros",0,0,"Extranjero",686,57,12050,130,49,"Soltero","SI"
"Propiedad hipotecada",168200,0,"Español",799,22,3000,527,46,"Casado","SI"
"Propiedad hipotecada",120000,100000,"Español",9000,150,21303,5408,40,"Soltero","SI"
"Propiedad libre",60000,0,"Español",797,22,17000,977,42,"Casado","SI"
"Propiedad libre",120000,0,"Español",9000,250,35110,5,48,"Casado","SI"
"Vive con la familia",0,0,"Español",1188,33,10690,2057,21,"Soltero","SI"
"Propiedad hipotecada",200000,0,"Español",9000,250,NA,3717,39,"Casado","SI"
"Alquiler",0,0,"Extranjero",6000,191,29220,110,43,"Casado","SI"
"Alquiler",0,0,"Español",6000,148,4800,0,45,"Casado","SI"
"Propiedad hipotecada",96666,0,"Español",11000,268,14091,10613,27,"Soltero","SI"
"Propiedad hipotecada",330500,0,"Español",774,22,22828,355,45,"Casado","SI"
"Propiedad hipotecada",116000,0,"Español",9000,250,24000,506,54,"Soltero","SI"
"Propiedad libre",168200,0,"Español",9000,250,11927,33,46,"Casado","SI"
"Alquiler",0,1000,"Extranjero",10000,312,8341,12,44,"Casado","SI"
"Propiedad hipotecada",135000,0,"Español",9000,250,19044,928,52,"Casado","SI"
"Propiedad hipotecada",120000,15000,"Español",6000,121,16949,229,52,"Separado","SI"
"Propiedad libre",180000,0,"Español",749,62,36000,5577,53,"Casado","SI"
"Propiedad libre",228384,0,"Español",3500,97,30707,92170,60,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",1897,53,40903,20340,59,"Soltero","SI"
"Vive con la familia",0,0,"Español",1539,128,16820,738,26,"Soltero","SI"
"Vive con la familia",0,0,"Español",1003,84,22430,465,36,"Soltero","SI"
"Propiedad libre",120000,0,"Español",829,75,16425,3837,43,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",9000,250,20954,5268,62,"Soltero","SI"
"Propiedad hipotecada",214000,0,"Extranjero",1000,28,36000,243,31,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",400,35,5800,314,24,"Soltero","NO"
"Propiedad hipotecada",240000,0,"Español",9000,250,NA,7732,35,"Casado","SI"
"Otros",0,210000,"Español",970,27,111,10118,37,"Soltero","SI"
"Propiedad hipotecada",47000,15000,"Español",9000,250,25270,971,33,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,95,15419,609,37,"Soltero","SI"
"Propiedad libre",72000,36061,"Español",9000,250,18874,31712,NA,"Soltero","SI"
"Propiedad hipotecada",200000,5000,"Español",9000,250,16258,834,35,"Casado","SI"
"Otros",0,0,"Español",6000,167,12583,38321,48,"Soltero","SI"
"Propiedad libre",150000,10000,"Español",757,21,15552,1160,45,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",9000,250,33733,27400,45,"Soltero","SI"
"Propiedad libre",120000,0,"Español",1643,46,19459,13299,59,"Casado","SI"
"Propiedad libre",300000,0,"Español",999,28,24000,15780,35,"Casado","SI"
"Propiedad libre",150000,0,"Español",940,78,NA,76,52,"Casado","SI"
"Propiedad hipotecada",175000,0,"Español",1361,68,34406,30302,29,"Soltero","SI"
"Propiedad libre",240000,0,"Español",1608,134,NA,933,58,"Casado","SI"
"Propiedad libre",180000,0,"Español",30000,601,NA,1299,52,"Casado","SI"
"Propiedad libre",500000,0,"Español",1126,94,27963,7450,48,"Casado","SI"
"Propiedad hipotecada",0,127575,"Español",8000,162,12144,2133,48,"Casado","SI"
"Propiedad libre",240000,0,"Español",3000,250,36000,39466,66,"Soltero","SI"
"Alquiler",0,0,"Extranjero",5000,158,9493,466,45,"Casado","SI"
"Vive con la familia",0,0,"Español",4500,142,12973,253,25,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",1000,28,23294,4301,48,"Casado","SI"
"Otros",0,0,"Español",1000,83,14810,4339,27,"Soltero","SI"
"Propiedad hipotecada",100000,0,"Español",6000,101,13402,2174,40,"Soltero","SI"
"Propiedad hipotecada",144242,0,"Español",827,69,30300,455,60,"Casado","SI"
"Propiedad hipotecada",228483,0,"Español",21200,427,29200,703,NA,"Casado","SI"
"Propiedad libre",150000,0,"Español",18000,298,20266,10114,53,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",707,20,19600,9775,49,"Soltero","SI"
"Propiedad libre",150000,0,"Español",9000,250,11089,87751,36,"Casado","SI"
"Vive con la familia",0,0,"Español",1100,18,21099,24725,27,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",1159,32,39438,10252,36,"Casado","SI"
"Propiedad libre",150250,0,"Español",6000,167,6487,1122,51,"Casado","SI"
"Propiedad libre",150000,0,"Español",518,43,14000,41061,45,"Casado","SI"
"Propiedad hipotecada",29200,0,"Español",890,74,10937,177,39,"Casado","SI"
"Propiedad hipotecada",220330,0,"Español",4000,83,19200,2261,37,"Soltero","SI"
"Vive con la familia",0,0,"Español",1251,35,21300,4170,28,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,20000,9794,28,"Soltero","SI"
"Alquiler",0,0,"Español",10000,208,13740,232,46,"Soltero","SI"
"Propiedad hipotecada",100000,0,"Español",899,75,22589,348,41,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",1000,32,14000,208,30,"Casado","SI"
"Propiedad hipotecada",300000,0,"Español",9000,250,26643,5219,45,"Casado","SI"
"Propiedad hipotecada",150250,0,"Español",4000,111,10962,346,30,"Casado","SI"
"Propiedad hipotecada",50000,0,"Español",5000,101,16480,442,57,"Casado","SI"
"Alquiler",0,0,"Español",4000,126,19222,105,50,"Soltero","SI"
"Propiedad libre",180000,0,"Español",9000,250,16399,1851,42,"Soltero","SI"
"Propiedad libre",75000,0,"Español",9000,250,614,0,NA,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",3000,63,11338,577,NA,"Casado","SI"
"Propiedad hipotecada",115336,0,"Español",9000,250,28421,125,NA,"Soltero","SI"
"Propiedad hipotecada",230000,0,"Español",3000,83,19865,12724,43,"Soltero","SI"
"Vive con la familia",0,0,"Español",750,13,14711,1983,32,"Soltero","SI"
"Alquiler",0,0,"Extranjero",2000,175,14933,77,33,"Soltero","NO"
"Alquiler",0,0,"Extranjero",6000,107,10812,281,30,"Casado","SI"
"Propiedad hipotecada",9000,0,"Extranjero",6000,102,13042,34,31,"Casado","NO"
"Propiedad libre",108182,39066,"Español",12000,250,14400,15238,48,"Soltero","SI"
"Propiedad libre",300000,0,"Español",9000,250,36730,84974,61,"Soltero","SI"
"Propiedad libre",180000,0,"Español",9000,250,17500,16307,48,"Soltero","SI"
"Propiedad libre",130000,0,"Español",9000,250,20810,51574,63,"Casado","SI"
"Propiedad libre",75000,0,"Español",9000,250,29500,35214,58,"Casado","SI"
"Propiedad hipotecada",159268,0,"Español",1243,35,23058,347,35,"Casado","SI"
"Propiedad hipotecada",90000,0,"Español",6000,167,24455,1466,42,"Casado","SI"
"Propiedad hipotecada",140000,0,"Español",4000,83,10818,1755,41,"Casado","SI"
"Propiedad hipotecada",180000,0,"Español",3000,62,15000,424,40,"Soltero","SI"
"Propiedad hipotecada",100000,0,"Español",9000,180,2038,1033,47,"Casado","SI"
"Propiedad hipotecada",90000,0,"Español",6000,120,5077,0,40,"Casado","NO"
"Propiedad libre",250000,0,"Español",9000,250,56711,4189,60,"Soltero","SI"
"Propiedad hipotecada",194557,0,"Español",9000,250,22257,765,34,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",11500,283,16718,80,31,"Soltero","NO"
"Propiedad libre",75000,0,"Español",9000,218,16324,265,37,"Casado","SI"
"Propiedad hipotecada",250000,0,"Español",9000,250,24384,363,51,"Soltero","SI"
"Otros",0,0,"Español",1848,51,14500,4699,32,"Soltero","SI"
"Propiedad libre",200000,150000,"Español",1349,37,25573,44979,59,"Casado","SI"
"Propiedad libre",150000,63000,"Español",9000,250,12950,3899,53,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",6000,189,24041,2391,54,"Casado","SI"
"Alquiler",0,15000,"Español",2000,63,22110,3543,42,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",20000,401,13221,1525,32,"Casado","SI"
"Propiedad libre",75000,0,"Español",9000,250,18128,451,56,"Casado","SI"
"Propiedad hipotecada",250000,0,"Español",9000,250,18000,0,44,"Casado","SI"
"Propiedad libre",325000,0,"Español",9000,250,16827,15592,51,"Casado","SI"
"Propiedad libre",30050,0,"Español",5000,100,5076,0,69,"Casado","SI"
"Propiedad libre",100000,0,"Español",6000,167,NA,320,60,"Casado","SI"
"Propiedad libre",322200,0,"Español",9000,250,24049,31281,63,"Casado","SI"
"Propiedad hipotecada",215000,0,"Español",9000,250,16200,1808,42,"Soltero","SI"
"Vive con la familia",0,0,"Español",814,68,9286,0,31,"Soltero","SI"
"Propiedad hipotecada",350000,0,"Español",9000,250,55935,2919,52,"Casado","SI"
"Propiedad libre",200000,0,"Español",9000,250,29043,2984,52,"Casado","SI"
"Propiedad hipotecada",140000,0,"Español",6000,189,17886,1036,34,"Casado","SI"
"Propiedad libre",180304,234142,"Español",9000,250,18247,618,58,"Soltero","SI"
"Propiedad hipotecada",130000,0,"Español",6000,123,15497,116,33,"Casado","SI"
"Propiedad hipotecada",50000,0,"Español",27000,460,14617,1373,38,"Casado","SI"
"Vive con la familia",0,0,"Español",8000,297,18000,202,34,"Soltero","NO"
"Propiedad libre",240000,0,"Español",9000,250,36000,11687,60,"Casado","SI"
"Propiedad hipotecada",74425,0,"Extranjero",6000,123,19775,819,52,"Casado","SI"
"Propiedad libre",125000,0,"Español",9000,250,59559,1443,56,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,123,NA,3361,43,"Casado","SI"
"Propiedad hipotecada",96000,0,"Español",1190,33,27737,781,35,"Casado","SI"
"Propiedad hipotecada",53000,10000,"Español",12000,206,20279,197,48,"Casado","SI"
"Alquiler",0,0,"Español",1399,117,13939,3464,39,"Soltero","SI"
"Propiedad hipotecada",30460,0,"Español",1100,31,13012,845,24,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",4000,149,12042,796,NA,"Soltero","SI"
"Propiedad libre",51000,0,"Español",24000,403,NA,6967,61,"Casado","SI"
"Propiedad libre",37500,31500,"Español",30000,601,8904,1434,37,"Casado","SI"
"Propiedad libre",300000,0,"Español",12000,250,17798,50119,NA,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",975,27,28000,18152,56,"Casado","SI"
"Propiedad hipotecada",90000,0,"Español",9000,222,13081,2244,NA,"Casado","SI"
"Propiedad hipotecada",120000,0,"Español",9000,250,22168,4,51,"Casado","SI"
"Propiedad libre",125000,18000,"Español",12000,240,13874,1350,51,"Soltero","SI"
"Propiedad libre",240000,0,"Español",768,64,22030,764,44,"Casado","SI"
"Propiedad libre",100000,0,"Español",4000,99,14972,-13,63,"Soltero","SI"
"Vive con la familia",0,0,"Español",9000,250,20981,2695,33,"Soltero","SI"
"Alquiler",0,0,"Extranjero",2000,119,14000,171,27,"Soltero","NO"
"Propiedad libre",150000,150000,"Español",9000,250,16802,334,50,"Soltero","SI"
"Propiedad hipotecada",30000,0,"Español",6000,102,12797,502,52,"Separado","SI"
"Propiedad hipotecada",101700,0,"Español",9000,250,17791,444,44,"Separado","SI"
"Propiedad libre",105000,0,"Español",1078,90,7393,3049,64,"Casado","SI"
"Propiedad libre",150000,0,"Español",3000,95,NA,1085,66,"Casado","SI"
"Propiedad hipotecada",80000,0,"Español",917,25,17815,1365,41,"Casado","SI"
"Propiedad libre",62895,0,"Español",1326,111,9600,9719,NA,"Casado","SI"
"Otros",0,90000,"Español",4000,82,18860,33,45,"Casado","SI"
"Vive con la familia",0,0,"Español",8500,149,10179,644,25,"Soltero","SI"
"Propiedad libre",275551,0,"Español",897,25,31325,7055,49,"Casado","SI"
"Vive con la familia",0,0,"Español",670,56,24000,5213,29,"Soltero","SI"
"Propiedad libre",180000,0,"Español",9000,250,22205,11143,55,"Soltero","SI"
"Propiedad libre",36061,22237,"Español",11000,193,13146,2719,50,"Casado","SI"
"Propiedad libre",150000,0,"Español",5000,139,24250,652,58,"Soltero","SI"
"Vive con la familia",0,0,"Español",400,59,9780,116,26,"Soltero","NO"
"Alquiler",0,0,"Español",792,66,26177,0,45,"Separado","NO"
"Alquiler",0,4000,"Extranjero",5000,103,15523,518,52,"Separado","SI"
"Propiedad hipotecada",120000,0,"Español",6000,167,18562,32,59,"Soltero","SI"
"Propiedad libre",150000,0,"Español",9000,250,NA,615,52,"Casado","SI"
"Propiedad libre",200000,0,"Español",9000,250,35391,1660,61,"Casado","SI"
"Propiedad hipotecada",108182,0,"Español",730,37,23000,126,34,"Soltero","SI"
"Propiedad hipotecada",75000,0,"Español",6000,125,24357,660,57,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,189,10440,29,42,"Soltero","NO"
"Vive con la familia",0,0,"Español",9000,250,16758,34830,32,"Soltero","SI"
"Propiedad libre",138200,42000,"Español",9000,250,19371,19126,47,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",7000,171,18008,622,65,"Soltero","SI"
"Propiedad hipotecada",88000,0,"Español",6000,123,15507,1958,62,"Casado","SI"
"Propiedad libre",180000,0,"Extranjero",14000,287,13904,4607,35,"Soltero","SI"
"Vive con la familia",0,0,"Español",1374,38,17652,8380,28,"Soltero","SI"
"Vive con la familia",0,0,"Español",1212,101,17192,567,30,"Soltero","SI"
"Propiedad hipotecada",127249,0,"Español",9000,250,17146,10785,56,"Casado","SI"
"Propiedad libre",90000,108000,"Español",842,70,8787,2956,48,"Casado","SI"
"Propiedad hipotecada",41000,0,"Español",8000,160,22899,651,32,"Soltero","SI"
"Vive con la familia",0,0,"Extranjero",6000,148,13701,515,38,"Soltero","SI"
"Propiedad hipotecada",88000,0,"Español",8000,222,18241,1471,43,"Casado","SI"
"Alquiler",0,0,"Extranjero",6000,358,20469,0,57,"Soltero","NO"
"Propiedad hipotecada",90000,0,"Español",6000,200,13484,861,39,"Casado","SI"
"Propiedad hipotecada",45000,100000,"Español",9000,250,29858,3389,41,"Casado","SI"
"Propiedad hipotecada",30257,0,"Español",9000,250,14674,0,NA,"Separado","SI"
"Propiedad hipotecada",133750,0,"Español",6000,123,8982,3387,39,"Casado","SI"
"Propiedad libre",300000,0,"Español",9000,250,13168,726,44,"Casado","SI"
"Propiedad libre",300000,0,"Español",10000,202,13168,726,44,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",799,67,38443,650,37,"Casado","SI"
