"TIPO_VIVIENDA","VALOR_VIVIENDA","PATRIMONIO","NACIONALIDAD","IMPORTE","CUOTA","INGRESOS","SALDO","EDAD","ESTADO_CIVIL","CLASE"
"Propiedad libre",120000,0,"Español",9000,174,8540,5238,62,"Soltero","SI"
"Propiedad hipotecada",80000,0,"Extranjero",10000,203,16450,145,42,"Casado","SI"
"Alquiler",0,0,"Extranjero",1500,48,9480,2,30,"Soltero","NO"
"Propiedad libre",60000,0,"Español",15000,304,9639,1268,60,"Soltero","SI"
"Alquiler",0,0,"Extranjero",17500,355,5400,514,28,"Casado","SI"
"Propiedad hipotecada",100000,0,"Español",30000,468,NA,10733,NA,"Casado","SI"
"Vive con la familia",0,0,"Español",14000,274,22035,13420,36,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",13000,223,23000,1562,40,"Soltero","SI"
"Alquiler",0,0,"Extranjero",3000,94,4560,124,54,"Soltero","NO"
"Propiedad hipotecada",78500,20000,"Español",10000,244,21545,-32,50,"Casado","SI"
"Alquiler",0,0,"Extranjero",14000,277,30000,419,37,"Soltero","SI"
"Vive con la familia",0,0,"Español",3000,63,15100,340,48,"Soltero","NO"
"Vive con la familia",0,6000,"Extranjero",6000,117,4200,186,37,"Casado","SI"
"Propiedad hipotecada",158300,0,"Español",10000,170,22500,4504,49,"Soltero","SI"
"Alquiler",0,0,"Español",9000,178,20785,-22,43,"Separado","SI"
"Propiedad hipotecada",230000,0,"Extranjero",15000,304,14400,83,28,"Casado","NO"
"Alquiler",0,5000,"Español",22000,365,15600,2029,30,"Soltero","SI"
"Alquiler",0,0,"Extranjero",2000,258,11798,46,36,"Soltero","NO"
"Propiedad libre",220000,72500,"Español",9000,182,14399,1675,53,"Casado","SI"
"Propiedad libre",200000,0,"Español",6000,125,23994,14607,61,"Casado","SI"
"Vive con la familia",0,0,"Español",12000,243,15698,11935,32,"Soltero","SI"
"Propiedad hipotecada",150000,0,"Español",6000,119,14619,0,NA,"Casado","SI"
"Vive con la familia",0,0,"Extranjero",23000,392,9600,0,38,"Soltero","SI"
"Propiedad libre",210000,12000,"Español",6000,125,7300,4971,45,"Casado","SI"
"Propiedad libre",150000,0,"Español",18000,439,5460,1581,45,"Casado","SI"
"Propiedad libre",214000,0,"Español",6000,116,4000,336,49,"Casado","SI"
"Vive con la familia",0,0,"Español",6000,146,5745,-120,55,"Soltero","SI"
"Propiedad libre",280000,0,"Español",23400,388,13939,0,45,"Casado","SI"
"Propiedad hipotecada",240000,18000,"Español",18000,300,22400,1089,34,"Soltero","SI"
"Propiedad libre",180000,0,"Español",6000,116,14661,5246,62,"Soltero","SI"
"Vive con la familia",0,0,"Español",11000,262,19698,12925,30,"Soltero","SI"
"Propiedad libre",120000,0,"Español",7000,151,4500,3531,NA,"Casado","SI"
"Propiedad hipotecada",150000,0,"Extranjero",1700,34,12500,2361,42,"Casado","SI"
"Otros",0,0,"Español",9000,172,11900,1737,36,"Casado","SI"
"Propiedad hipotecada",250000,0,"Español",20000,470,49285,3883,41,"Soltero","SI"
"Vive con la familia",0,0,"Español",1800,154,16671,79,41,"Soltero","NO"
"Propiedad hipotecada",76000,20000,"Español",6000,117,NA,24716,36,"Soltero","SI"
"Propiedad hipotecada",225000,0,"Español",8800,178,16370,-24,NA,"Separado","SI"
"Alquiler",0,0,"Extranjero",4000,181,14000,26,25,"Soltero","NO"
"Vive con la familia",0,0,"Español",6000,146,13794,804,31,"Soltero","SI"
"Alquiler",0,0,"Extranjero",12000,250,15000,422,37,"Soltero","SI"
"Vive con la familia",0,0,"Español",22500,425,34000,2331,43,"Casado","SI"
"Vive con la familia",0,0,"Español",15000,361,21490,1824,37,"Soltero","SI"
"Propiedad libre",75000,0,"Español",3000,73,23599,40,68,"Casado","SI"
"Propiedad hipotecada",160000,0,"Español",10000,170,10000,-31,29,"Casado","SI"
"Alquiler",0,0,"Extranjero",6900,124,7300,117,33,"Casado","SI"
"Propiedad libre",240000,0,"Español",13000,302,13514,556,NA,"Casado","SI"
"Propiedad libre",60000,0,"Español",6000,94,3000,482,32,"Casado","SI"
"Alquiler",0,0,"Extranjero",4100,151,13000,45,49,"Soltero","NO"
"Propiedad libre",224481,0,"Español",18000,254,14473,462,35,"Casado","SI"
"Vive con la familia",0,0,"Español",10000,193,14000,5177,27,"Soltero","SI"
"Propiedad libre",9000,0,"Extranjero",23000,466,15000,948,41,"Casado","SI"
"Propiedad hipotecada",108182,15000,"Español",18000,342,13000,2077,51,"Soltero","SI"
"Otros",0,0,"Español",6000,125,24155,871,52,"Separado","SI"
"Propiedad hipotecada",18000,0,"Español",7000,142,19532,565,41,"Soltero","SI"
"Alquiler",0,5000,"Extranjero",3000,73,17389,869,52,"Casado","SI"
"Propiedad hipotecada",122000,0,"Español",16000,367,8974,1053,53,"Casado","SI"
"Propiedad libre",90000,0,"Español",12000,243,10356,996,34,"Soltero","SI"
"Otros",0,0,"Español",3000,61,12000,2740,39,"Casado","SI"
"Propiedad libre",530000,85000,"Español",24000,455,27935,1281,47,"Casado","SI"
"Propiedad hipotecada",75000,10000,"Español",12000,235,19000,1310,55,"Soltero","SI"
"Vive con la familia",0,0,"Español",3000,73,12782,1648,40,"Soltero","SI"
"Propiedad hipotecada",80000,0,"Español",12000,243,16800,-133,56,"Casado","SI"
"Propiedad hipotecada",150798,0,"Español",2000,42,11500,99,36,"Casado","NO"
"Propiedad libre",90000,0,"Español",11000,223,14500,40,53,"Soltero","SI"
"Propiedad hipotecada",180000,0,"Español",15000,356,16277,5316,55,"Casado","SI"
"Vive con la familia",0,0,"Español",3000,50,13000,243,53,"Soltero","SI"
"Propiedad libre",240000,0,"Español",6000,77,23960,6933,53,"Casado","SI"
"Propiedad hipotecada",75000,20000,"Español",6000,184,15000,291,59,"Casado","NO"
"Propiedad libre",138000,60000,"Español",7000,135,23204,15058,52,"Casado","SI"
"Vive con la familia",0,0,"Español",20000,341,11672,4899,31,"Soltero","SI"
"Propiedad hipotecada",16500,18000,"Español",7500,149,16375,2438,50,"Casado","SI"
"Propiedad hipotecada",210000,0,"Español",15600,264,3874,528,47,"Casado","SI"
"Vive con la familia",0,0,"Español",12500,244,16500,8765,36,"Soltero","SI"
"Propiedad libre",120000,25000,"Español",20000,349,16000,3343,48,"Casado","SI"
"Alquiler",0,0,"Extranjero",18000,314,19000,352,42,"Soltero","NO"
"Vive con la familia",0,0,"Español",3000,52,4490,2497,53,"Soltero","SI"
"Propiedad libre",237000,0,"Español",7000,122,18571,754,68,"Casado","SI"
"Otros",0,0,"Español",24000,409,21295,305,35,"Soltero","SI"
"Alquiler",0,0,"Extranjero",6000,121,21600,246,33,"Casado","NO"
"Propiedad hipotecada",55913,0,"Español",12930,313,28227,417,58,"Casado","SI"
"Propiedad hipotecada",150000,0,"Español",8000,135,6200,0,62,"Casado","SI"
"Alquiler",78000,0,"Extranjero",3000,51,19785,337,53,"Soltero","NO"
"Propiedad libre",300000,0,"Español",20000,336,36061,987,62,"Casado","SI"
"Vive con la familia",18000,0,"Español",12000,232,13600,811,54,"Casado","NO"
"Otros",0,0,"Extranjero",15000,266,12000,299,32,"Soltero","SI"
"Alquiler",0,0,"Español",12000,233,25890,1436,NA,"Soltero","SI"
"Vive con la familia",0,25000,"Español",20000,385,18000,0,30,"Soltero","NO"
"Propiedad hipotecada",180000,0,"Español",18000,347,30646,3876,41,"Soltero","SI"
"Alquiler",0,0,"Extranjero",2500,113,10800,0,29,"Soltero","NO"
"Propiedad hipotecada",90000,0,"Español",9000,182,NA,-134,38,"Casado","SI"
"Alquiler",0,0,"Extranjero",5000,152,35000,375,44,"Separado","NO"
"Alquiler",115000,0,"Español",9000,216,30978,1519,51,"Separado","SI"
"Alquiler",0,4000,"Extranjero",3000,136,15305,79,49,"Soltero","NO"
"Vive con la familia",0,0,"Español",12500,248,18956,1635,23,"Soltero","SI"
"Alquiler",0,0,"Español",4000,181,14350,104,58,"Soltero","NO"
"Vive con la familia",0,6600,"Español",20000,394,26400,922,28,"Soltero","SI"
"Vive con la familia",0,0,"Español",15000,297,15000,7299,32,"Soltero","SI"
"Otros",0,0,"Español",3000,94,10021,778,46,"Separado","NO"
"Alquiler",0,0,"Español",12000,210,13000,200,40,"Casado","SI"
"Vive con la familia",0,0,"Español",20000,344,12065,86,24,"Soltero","SI"
"Propiedad libre",120000,45000,"Español",15000,295,5300,462,43,"Casado","SI"
"Vive con la familia",0,0,"Español",13000,217,19000,1888,31,"Soltero","SI"
"Propiedad libre",16816,94242,"Español",18000,302,40000,1072,52,"Casado","SI"
"Propiedad libre",70000,190000,"Español",18000,361,15700,477,54,"Casado","SI"
"Propiedad libre",300000,0,"Español",18000,423,9000,9036,57,"Casado","SI"
